node1,node2,bwd,delay,pkloss
1,3,44824.801042,0.164747,0.000381
1,7,102889.549965,1.118302,0.000656
1,8,104402.100832,1.149535,0.0
1,10,47790.16538,14.969826,0.0
1,12,42165.292172,3.996968,0.000687
1,30,107944.528415,5.790114,0.001599
2,3,103331.606695,0.424266,0.001389
2,4,92772.472687,0.306964,0.0
2,5,64284.903278,0.806212,0.000865
2,17,77556.115065,0.950575,0.000493
2,21,73579.993986,0.577807,0.000488
2,22,88035.297184,0.509977,0.003017
2,28,140790.586349,0.913501,0.002161
2,31,157594.715846,1.178026,0.001441
3,4,11032.598978,58.175802,0.000669
3,5,10494.914303,60.560465,0.000665
3,6,63329.104941,0.552535,0.0
3,7,87094.98246,0.584483,0.000531
3,12,41117.498246,2.594829,0.001373
3,13,86944.492332,0.485182,0.001653
3,15,46536.874812,0.377536,0.002503
3,20,89652.937757,3.555655,0.001984
3,27,36541.613712,1.018405,0.000792
3,31,152022.411547,0.418305,0.001216
3,32,48867.828004,1.135945,0.001398
4,11,49301.521499,1.120329,0.000532
4,14,74448.623835,1.233816,0.003297
4,16,76606.290468,5.482554,0.000509
4,17,4888.010424,60.089111,0.0
5,6,55338.58274,7.863641,0.001304
5,9,153193.216398,1.379967,0.001317
5,10,36345.675053,0.666022,0.001093
5,11,26473.472988,55.256367,0.0
5,15,47886.939962,0.741959,0.000713
5,16,118066.480906,0.481725,0.002631
6,8,107228.874411,0.528097,0.00209
6,19,94746.148141,0.77486,0.000663
6,23,121228.93054,0.547528,0.000893
6,27,59354.1305,0.446558,0.000436
7,9,151528.932545,4.263163,0.00405
8,18,95301.705924,2.211571,0.000536
10,29,114898.009422,0.546217,0.0026
11,13,98545.494638,0.743747,0.001106
11,29,110124.94337,1.700282,0.000598
13,14,85404.462263,0.989795,0.001619
13,22,65202.46968,0.456929,0.000926
14,20,89992.294277,0.601888,0.001947
14,21,114920.709632,0.953913,0.003637
14,24,155702.235141,0.62561,0.004759
15,18,2423.197354,39.551854,0.00031
15,19,149237.406034,0.550032,0.00333
15,26,132198.360557,0.504851,0.001932
15,28,105197.802947,0.516534,0.000767
16,23,121385.442518,0.858665,0.000921
16,25,173926.871805,0.734329,0.002096
19,24,154779.841636,3.592253,0.001575
19,25,163097.676656,1.932144,0.0
20,26,144164.994488,0.567794,0.0
22,32,105257.540343,0.334024,0.001846
26,30,130744.691853,0.654817,0.001422
