node1,node2,bwd,delay,pkloss
1,3,178899.312825,1.541615,0.003104
1,7,161681.270475,1.865983,0.002936
1,16,161375.293648,1.451612,0.002339
2,4,166972.169397,1.401305,0.005386
2,7,188767.95845,1.900792,0.003582
2,12,174912.781775,2.236247,0.014597
2,13,165926.679317,1.51813,0.007237
2,18,49825.915268,1.241565,0.0
2,23,42255.14183,1.803875,0.0
3,10,183420.377509,1.809239,0.020371
3,11,36564.210947,0.49305,0.005867
3,14,2408.155398,1.044631,0.311526
3,21,185230.771075,1.75631,0.0
4,16,168221.022773,0.684023,0.002786
5,8,46592.733447,2.083063,0.406504
5,16,25527.488511,1.67799,0.005529
6,7,2246.02737,1.688838,0.0
6,19,3043.834549,0.730038,0.813008
7,17,163432.552936,0.314832,0.005694
7,19,45137.514982,0.62263,0.016265
7,21,183094.886137,1.834035,0.002989
8,9,33362.541712,1.770496,0.008121
9,15,49473.628283,1.537323,0.074074
9,16,152579.352777,1.78504,0.009347
10,11,40556.443912,1.603723,0.004489
10,12,156569.72336,1.542926,0.028798
10,16,177691.920503,5.062342,0.00256
10,17,160854.113652,0.355363,0.00596
12,22,197030.230838,0.692129,0.0
13,14,1805.601278,4.157305,0.0
13,17,186232.04155,1.256824,0.015277
13,19,46289.168081,0.911832,0.025168
15,20,49281.965445,1.52576,0.0
17,20,197979.40871,1.016378,0.0
17,23,43040.918897,1.343846,0.0
18,21,41797.962445,1.629591,0.011964
20,22,49413.81295,1.243711,0.0
