node1,node2,bwd,delay,pkloss
1,3,109285.835915,1.574278,0.002093
1,7,113951.573099,1.089931,0.001483
1,8,114092.468425,1.809597,0.001304
1,10,103803.995204,1.285911,0.002598
1,12,173141.349321,0.497937,0.0
1,30,137689.597122,1.833558,0.0
2,3,112070.534626,1.636147,0.001589
2,4,108183.084641,2.065897,0.000434
2,5,128131.015791,1.864791,0.00361
2,17,111677.601918,1.901269,0.0
2,21,92992.121503,1.888871,0.0
2,22,127179.278033,1.742363,0.0045
2,28,149171.770161,3.497362,0.005621
2,31,173977.386091,1.654983,0.002975
3,4,122868.544019,1.228571,0.001526
3,5,176671.310882,2.568603,0.004448
3,6,89955.640288,4.231691,0.001386
3,7,109877.978215,1.58453,0.001589
3,12,164143.151079,0.089049,0.002151
3,13,113570.41615,2.304912,0.003074
3,15,140053.541167,1.992464,0.004006
3,20,143978.0,3.202558,0.001829
3,27,152625.654676,1.008749,0.003144
3,31,169123.715428,0.815511,0.002696
3,32,140473.128697,3.934264,0.001436
4,11,128323.503148,2.284646,0.003782
4,14,126634.264815,3.082275,0.004943
4,16,114312.107924,2.274036,0.000962
4,17,91131.991606,2.363205,0.000552
5,6,130063.835299,2.666235,0.0
5,9,178701.938837,1.806021,0.0
5,10,125061.017789,2.602816,0.002286
5,11,138126.45053,8.119106,0.0
5,15,139212.518889,6.441593,0.000634
5,16,160891.418749,7.642746,0.004211
6,8,123295.996803,4.412532,0.0
6,19,126146.222222,4.187346,0.0
6,23,141833.903468,3.183007,0.004057
6,27,163811.438849,1.206398,0.0
7,9,183845.234736,4.384518,0.0
8,18,80712.655476,1.228333,0.001333
10,29,139494.173279,0.443578,0.003895
11,13,119172.589246,0.531912,0.000534
11,29,121927.289297,2.659798,0.002713
13,14,118011.148996,2.386928,0.001252
13,22,125478.228263,1.458168,0.00065
14,20,139323.663835,2.57349,0.005834
14,21,136015.451584,3.520966,0.006071
14,24,161500.45688,4.466534,0.005915
15,18,103900.18309,2.459645,0.00216
15,19,155448.501998,6.58977,0.00187
15,26,154205.122015,2.523541,0.002484
15,28,127572.620765,1.758933,0.00284
16,23,148432.820226,2.104878,0.000884
16,25,183906.819109,4.566789,0.002277
19,24,165701.502798,1.390457,0.0
19,25,181578.792966,5.016565,0.0
20,26,167188.369741,2.972484,0.003444
22,32,146436.486908,2.583742,0.003752
26,30,153895.727391,2.966285,0.00339
