node1,node2,bwd,delay,pkloss
1,3,193493.925215,1.632214,0.00537
1,7,184808.422316,1.209021,0.0
1,16,178635.096981,1.609325,0.0
2,4,168708.169183,1.583576,0.0
2,7,177879.520096,1.322985,0.0
2,12,173112.168783,1.735926,0.001793
2,13,178738.780244,1.702785,0.006734
2,18,43798.452155,1.728892,0.024438
2,23,49301.435713,1.797199,0.0
3,10,195485.414917,1.48952,0.007766
3,11,40962.623475,0.513196,0.008437
3,14,2457.44851,1.762986,0.0
3,21,191714.681064,1.674056,0.0
4,16,175000.107989,1.657248,0.002873
5,8,46456.346365,0.0,0.0
5,16,25088.46546,1.623154,0.002242
6,7,2383.559288,1.373053,0.140647
6,19,2650.513897,0.532508,0.0
7,17,176797.464254,1.53923,0.0
7,19,46843.967207,0.375032,0.0
7,21,191243.935213,6.941199,0.0
8,9,33802.147785,1.718402,0.0
9,15,46631.833633,1.92368,0.009211
9,16,156484.59862,1.408339,0.005002
10,11,36156.497051,1.504302,0.002247
10,12,166028.821118,1.100659,0.002839
10,16,163856.060788,1.554012,0.002032
10,17,175976.258374,1.883149,0.003745
12,22,193742.377762,1.981616,0.0
13,14,1754.309138,1.269698,0.0
13,17,195263.217678,1.591682,0.0
13,19,48317.208837,1.892686,0.0
15,20,45975.228954,1.82271,0.015968
17,20,197496.858314,1.715422,0.0
17,23,49520.671933,1.734138,0.0
18,21,47855.780844,1.791954,0.0
20,22,46064.169583,1.371622,0.0
