node1,node2,bwd,delay,pkloss
1,3,102678.865845,6.089807,0.0
1,7,65802.224226,1.309872,0.000803
1,8,80228.996193,0.0,0.008977
1,10,84998.485273,2.138615,0.008499
1,12,119767.341214,0.832558,0.011505
1,30,111071.544781,1.668692,0.007853
2,3,128599.282637,1.451015,0.003424
2,4,90928.452059,1.491785,0.000656
2,5,114123.790823,1.310468,0.005108
2,17,75546.784212,2.503753,0.0
2,21,79470.759367,0.467062,0.00101
2,22,90926.291324,0.166297,0.005475
2,28,106844.524597,2.291679,0.002389
2,31,133985.48442,1.213193,0.003749
3,4,98557.443142,3.284097,0.002199
3,5,182047.650536,1.779318,0.0
3,6,99262.061918,0.418067,0.0
3,7,70783.568781,3.889441,0.00079
3,12,105927.277828,1.565576,0.009253
3,13,99655.475857,2.457976,0.010861
3,15,150797.995791,2.303958,0.013988
3,20,130430.145276,1.601577,0.005709
3,27,136143.907033,4.0555,0.011864
3,31,123043.542731,2.669454,0.003121
3,32,75641.807434,0.721335,0.000967
4,11,87905.700832,0.476956,0.004496
4,14,119736.563471,2.390504,0.004296
4,16,99490.215409,2.308726,0.001204
4,17,73635.483418,1.376152,0.000708
5,6,108076.617912,2.741456,0.001205
5,9,166637.755961,0.204802,0.001873
5,10,91587.85013,4.817486,0.009364
5,11,82872.947305,1.143336,0.0
5,15,106539.172262,1.654267,0.010099
5,16,142138.411299,0.31805,0.006954
6,8,91482.668804,0.138879,0.007874
6,19,92527.645762,0.632286,0.0
6,23,119488.195572,0.941634,0.001222
6,27,149189.989982,1.04773,0.010567
7,9,171233.543733,0.238657,0.002473
8,18,67806.040685,0.192881,0.002378
10,29,136988.339513,1.126528,0.007158
11,13,82040.577039,0.837922,0.010269
11,29,100382.712883,2.792835,0.001985
13,14,100395.423304,0.540495,0.006663
13,22,116226.736125,0.967026,0.0025
14,20,125856.09458,0.746608,0.009737
14,21,135185.724877,2.259016,0.006533
14,24,116810.652239,1.495361,0.005122
15,18,54864.171509,1.253247,0.001118
15,19,115190.997094,0.054359,0.010728
15,26,142505.774126,2.557635,0.006663
15,28,88677.639042,0.170588,0.007199
16,23,121136.343052,1.075625,0.001402
16,25,156504.203566,1.803041,0.001406
19,24,114090.402725,0.519872,0.007177
19,25,151062.464436,1.687407,0.001224
20,26,159813.942491,1.104116,0.010404
22,32,139937.767982,1.913428,0.005538
26,30,129653.870354,0.974894,0.006587
