node1,node2,bwd,delay,pkloss
1,3,194161.951415,0.146985,0.0
1,7,187020.437869,1.057029,0.002959
1,16,191170.045991,1.572132,0.005864
2,4,191279.36819,1.851201,0.0
2,7,186778.53444,0.614882,0.0
2,12,190826.818636,1.787186,0.009766
2,13,190931.693661,1.648545,0.0
2,18,48065.578884,2.079129,0.0
2,23,49683.991202,1.35994,0.0
3,10,194477.184563,0.156283,0.009756
3,11,46072.560744,0.687957,0.0
3,14,2679.068186,0.0,0.0
3,21,198727.006599,0.190616,0.0
4,16,195155.781266,1.686811,0.0
5,8,49835.328467,0.706911,0.0
5,16,42914.785043,1.914501,0.010594
6,7,2863.839232,1.243353,0.0
6,19,3031.877624,1.756072,0.0
7,17,195002.75145,1.505733,0.0
7,19,48940.331934,1.203775,0.0
7,21,198277.712458,1.349926,0.0
8,9,43376.526347,0.409603,0.0162
9,15,46202.475752,0.67687,0.0
9,16,187112.0008,1.435757,0.003334
10,11,46301.40186,0.767946,0.008581
10,12,189837.656469,1.618147,0.0
10,16,189198.872226,1.453519,0.011482
10,17,193863.427315,1.420736,0.007453
12,22,196138.5003,1.157522,0.0
13,14,2855.496901,1.582384,0.0
13,17,197012.061588,1.526356,0.0
13,19,49886.590682,1.378417,0.0
15,20,45944.648605,0.940084,0.026497
17,20,198131.125775,0.399709,0.0
17,23,49617.290813,0.583291,0.0
18,21,48970.125975,0.827432,0.0
20,22,46997.760448,0.325441,0.0
