# Row, Column, Value
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,1
1,9,0
1,10,1
1,11,0
1,12,2
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,2
1,19,0
1,20,0
1,21,1
1,22,3
1,23,0
2,0,0
2,1,0
2,2,0
2,3,1
2,4,0
2,5,0
2,6,0
2,7,0
2,8,1
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,8
2,15,2
2,16,0
2,17,0
2,18,0
2,19,1
2,20,0
2,21,1
2,22,0
2,23,0
3,0,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,0
3,7,0
3,8,2
3,9,1
3,10,0
3,11,0
3,12,0
3,13,4
3,14,9
3,15,0
3,16,0
3,17,1
3,18,0
3,19,0
3,20,3
3,21,0
3,22,7
3,23,1
4,0,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,12
4,11,2
4,12,0
4,13,0
4,14,1
4,15,0
4,16,0
4,17,0
4,18,0
4,19,1
4,20,1
4,21,1
4,22,0
4,23,0
5,0,0
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,0
5,7,6
5,8,0
5,9,1
5,10,0
5,11,4
5,12,0
5,13,0
5,14,0
5,15,0
5,16,0
5,17,7
5,18,0
5,19,0
5,20,6
5,21,5
5,22,18
5,23,0
6,0,0
6,1,0
6,2,0
6,3,0
6,4,8
6,5,0
6,6,0
6,7,0
6,8,7
6,9,15
6,10,1
6,11,1
6,12,16
6,13,0
6,14,10
6,15,3
6,16,6
6,17,2
6,18,1
6,19,0
6,20,0
6,21,1
6,22,0
6,23,1
7,0,0
7,1,0
7,2,0
7,3,0
7,4,0
7,5,0
7,6,0
7,7,0
7,8,0
7,9,1
7,10,0
7,11,0
7,12,0
7,13,0
7,14,4
7,15,0
7,16,0
7,17,0
7,18,0
7,19,0
7,20,0
7,21,0
7,22,1
7,23,0
8,0,0
8,1,0
8,2,9
8,3,0
8,4,1
8,5,0
8,6,6
8,7,6
8,8,0
8,9,0
8,10,1
8,11,5
8,12,3
8,13,4
8,14,4
8,15,0
8,16,1
8,17,16
8,18,14
8,19,10
8,20,1
8,21,5
8,22,0
8,23,11
9,0,0
9,1,0
9,2,0
9,3,0
9,4,0
9,5,1
9,6,0
9,7,0
9,8,0
9,9,0
9,10,0
9,11,1
9,12,0
9,13,2
9,14,1
9,15,0
9,16,0
9,17,1
9,18,3
9,19,16
9,20,19
9,21,0
9,22,1
9,23,2
10,0,0
10,1,1
10,2,0
10,3,0
10,4,0
10,5,0
10,6,0
10,7,0
10,8,0
10,9,0
10,10,0
10,11,0
10,12,5
10,13,0
10,14,19
10,15,1
10,16,0
10,17,0
10,18,3
10,19,1
10,20,0
10,21,0
10,22,0
10,23,0
11,0,0
11,1,0
11,2,4
11,3,0
11,4,4
11,5,0
11,6,3
11,7,1
11,8,5
11,9,1
11,10,0
11,11,0
11,12,0
11,13,3
11,14,0
11,15,0
11,16,0
11,17,0
11,18,0
11,19,3
11,20,3
11,21,0
11,22,0
11,23,4
12,0,0
12,1,0
12,2,0
12,3,5
12,4,0
12,5,0
12,6,2
12,7,0
12,8,6
12,9,1
12,10,0
12,11,0
12,12,0
12,13,0
12,14,0
12,15,0
12,16,0
12,17,0
12,18,0
12,19,0
12,20,4
12,21,2
12,22,0
12,23,0
13,0,0
13,1,0
13,2,0
13,3,3
13,4,0
13,5,18
13,6,0
13,7,0
13,8,4
13,9,5
13,10,0
13,11,5
13,12,12
13,13,0
13,14,0
13,15,0
13,16,0
13,17,0
13,18,2
13,19,0
13,20,0
13,21,0
13,22,1
13,23,0
14,0,0
14,1,0
14,2,9
14,3,0
14,4,0
14,5,17
14,6,4
14,7,0
14,8,12
14,9,0
14,10,10
14,11,0
14,12,18
14,13,0
14,14,0
14,15,3
14,16,13
14,17,13
14,18,0
14,19,1
14,20,13
14,21,0
14,22,7
14,23,10
15,0,0
15,1,1
15,2,3
15,3,0
15,4,0
15,5,1
15,6,0
15,7,0
15,8,0
15,9,0
15,10,0
15,11,7
15,12,0
15,13,0
15,14,14
15,15,0
15,16,0
15,17,0
15,18,3
15,19,1
15,20,0
15,21,0
15,22,0
15,23,0
16,0,0
16,1,0
16,2,0
16,3,0
16,4,0
16,5,0
16,6,5
16,7,0
16,8,1
16,9,0
16,10,0
16,11,1
16,12,0
16,13,14
16,14,0
16,15,0
16,16,0
16,17,0
16,18,3
16,19,0
16,20,3
16,21,0
16,22,1
16,23,1
17,0,0
17,1,0
17,2,1
17,3,1
17,4,0
17,5,0
17,6,9
17,7,0
17,8,4
17,9,2
17,10,0
17,11,4
17,12,4
17,13,0
17,14,0
17,15,0
17,16,0
17,17,0
17,18,8
17,19,0
17,20,0
17,21,0
17,22,1
17,23,0
18,0,0
18,1,1
18,2,0
18,3,0
18,4,0
18,5,7
18,6,0
18,7,0
18,8,0
18,9,3
18,10,1
18,11,0
18,12,0
18,13,0
18,14,7
18,15,1
18,16,0
18,17,2
18,18,0
18,19,1
18,20,4
18,21,0
18,22,0
18,23,0
19,0,0
19,1,0
19,2,0
19,3,1
19,4,12
19,5,0
19,6,0
19,7,0
19,8,7
19,9,2
19,10,1
19,11,3
19,12,1
19,13,0
19,14,6
19,15,1
19,16,0
19,17,0
19,18,2
19,19,0
19,20,1
19,21,0
19,22,1
19,23,3
20,0,0
20,1,0
20,2,0
20,3,2
20,4,2
20,5,2
20,6,0
20,7,0
20,8,0
20,9,3
20,10,0
20,11,0
20,12,2
20,13,0
20,14,9
20,15,0
20,16,0
20,17,0
20,18,17
20,19,0
20,20,0
20,21,0
20,22,0
20,23,0
21,0,0
21,1,0
21,2,1
21,3,0
21,4,1
21,5,0
21,6,0
21,7,0
21,8,5
21,9,2
21,10,0
21,11,0
21,12,2
21,13,3
21,14,0
21,15,0
21,16,1
21,17,0
21,18,0
21,19,0
21,20,0
21,21,0
21,22,3
21,23,2
22,0,0
22,1,2
22,2,0
22,3,0
22,4,0
22,5,9
22,6,1
22,7,1
22,8,0
22,9,3
22,10,0
22,11,3
22,12,0
22,13,4
22,14,4
22,15,0
22,16,6
22,17,1
22,18,0
22,19,2
22,20,0
22,21,3
22,22,0
22,23,0
23,0,0
23,1,1
23,2,0
23,3,1
23,4,0
23,5,10
23,6,0
23,7,1
23,8,9
23,9,1
23,10,0
23,11,4
23,12,0
23,13,0
23,14,9
23,15,5
23,16,1
23,17,0
23,18,0
23,19,0
23,20,0
23,21,2
23,22,0
23,23,0
