# Row, Column, Value
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
1,0,0
1,1,0
1,2,0
1,3,2
1,4,1
1,5,6
1,6,1
1,7,0
1,8,0
1,9,0
1,10,0
1,11,8
1,12,0
1,13,1
1,14,3
1,15,1
1,16,7
1,17,1
1,18,0
1,19,1
1,20,2
1,21,1
1,22,9
1,23,1
1,24,18
1,25,4
1,26,0
1,27,1
1,28,13
1,29,0
1,30,0
1,31,3
1,32,0
2,0,0
2,1,0
2,2,0
2,3,3
2,4,0
2,5,0
2,6,1
2,7,0
2,8,1
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,0
2,15,2
2,16,0
2,17,0
2,18,0
2,19,3
2,20,0
2,21,0
2,22,0
2,23,0
2,24,5
2,25,0
2,26,1
2,27,4
2,28,0
2,29,1
2,30,0
2,31,0
2,32,1
3,0,0
3,1,2
3,2,3
3,3,0
3,4,0
3,5,0
3,6,2
3,7,0
3,8,0
3,9,0
3,10,1
3,11,15
3,12,0
3,13,0
3,14,1
3,15,0
3,16,6
3,17,16
3,18,13
3,19,1
3,20,0
3,21,6
3,22,13
3,23,3
3,24,2
3,25,3
3,26,0
3,27,0
3,28,1
3,29,1
3,30,3
3,31,0
3,32,0
4,0,0
4,1,2
4,2,0
4,3,0
4,4,0
4,5,0
4,6,4
4,7,0
4,8,9
4,9,0
4,10,4
4,11,0
4,12,0
4,13,2
4,14,0
4,15,0
4,16,0
4,17,0
4,18,5
4,19,0
4,20,0
4,21,1
4,22,0
4,23,0
4,24,0
4,25,0
4,26,0
4,27,0
4,28,0
4,29,4
4,30,0
4,31,0
4,32,0
5,0,0
5,1,8
5,2,0
5,3,8
5,4,10
5,5,0
5,6,6
5,7,3
5,8,16
5,9,1
5,10,2
5,11,18
5,12,9
5,13,5
5,14,7
5,15,6
5,16,12
5,17,10
5,18,2
5,19,1
5,20,13
5,21,2
5,22,15
5,23,0
5,24,0
5,25,0
5,26,0
5,27,1
5,28,1
5,29,1
5,30,2
5,31,1
5,32,0
6,0,0
6,1,0
6,2,1
6,3,0
6,4,3
6,5,0
6,6,0
6,7,5
6,8,0
6,9,0
6,10,0
6,11,0
6,12,0
6,13,2
6,14,1
6,15,1
6,16,1
6,17,2
6,18,0
6,19,0
6,20,2
6,21,0
6,22,0
6,23,0
6,24,0
6,25,0
6,26,1
6,27,0
6,28,1
6,29,1
6,30,5
6,31,0
6,32,5
7,0,0
7,1,0
7,2,2
7,3,0
7,4,8
7,5,5
7,6,5
7,7,0
7,8,4
7,9,0
7,10,15
7,11,6
7,12,1
7,13,0
7,14,1
7,15,0
7,16,1
7,17,8
7,18,4
7,19,7
7,20,0
7,21,0
7,22,1
7,23,0
7,24,12
7,25,1
7,26,1
7,27,0
7,28,1
7,29,4
7,30,0
7,31,0
7,32,0
8,0,0
8,1,0
8,2,2
8,3,0
8,4,8
8,5,0
8,6,0
8,7,0
8,8,0
8,9,0
8,10,0
8,11,0
8,12,0
8,13,1
8,14,3
8,15,3
8,16,1
8,17,2
8,18,0
8,19,0
8,20,1
8,21,7
8,22,1
8,23,12
8,24,0
8,25,0
8,26,5
8,27,0
8,28,7
8,29,0
8,30,0
8,31,1
8,32,2
9,0,0
9,1,0
9,2,0
9,3,1
9,4,0
9,5,0
9,6,5
9,7,0
9,8,0
9,9,0
9,10,4
9,11,0
9,12,12
9,13,2
9,14,2
9,15,1
9,16,0
9,17,4
9,18,0
9,19,3
9,20,0
9,21,0
9,22,0
9,23,0
9,24,1
9,25,19
9,26,4
9,27,1
9,28,0
9,29,1
9,30,0
9,31,2
9,32,1
10,0,0
10,1,0
10,2,0
10,3,14
10,4,2
10,5,0
10,6,0
10,7,0
10,8,0
10,9,0
10,10,0
10,11,0
10,12,0
10,13,3
10,14,3
10,15,12
10,16,0
10,17,0
10,18,0
10,19,0
10,20,1
10,21,6
10,22,0
10,23,17
10,24,8
10,25,0
10,26,0
10,27,10
10,28,0
10,29,0
10,30,0
10,31,2
10,32,2
11,0,0
11,1,16
11,2,2
11,3,2
11,4,0
11,5,0
11,6,0
11,7,16
11,8,4
11,9,0
11,10,1
11,11,0
11,12,8
11,13,0
11,14,1
11,15,6
11,16,0
11,17,2
11,18,2
11,19,3
11,20,4
11,21,3
11,22,0
11,23,1
11,24,5
11,25,1
11,26,4
11,27,2
11,28,2
11,29,4
11,30,3
11,31,7
11,32,3
12,0,0
12,1,10
12,2,4
12,3,0
12,4,0
12,5,0
12,6,4
12,7,1
12,8,0
12,9,0
12,10,0
12,11,2
12,12,0
12,13,0
12,14,2
12,15,0
12,16,9
12,17,14
12,18,0
12,19,1
12,20,0
12,21,0
12,22,1
12,23,0
12,24,0
12,25,3
12,26,2
12,27,0
12,28,1
12,29,5
12,30,0
12,31,0
12,32,1
13,0,0
13,1,0
13,2,5
13,3,0
13,4,1
13,5,1
13,6,0
13,7,0
13,8,1
13,9,0
13,10,0
13,11,0
13,12,6
13,13,0
13,14,0
13,15,1
13,16,0
13,17,0
13,18,15
13,19,0
13,20,0
13,21,0
13,22,2
13,23,7
13,24,0
13,25,5
13,26,0
13,27,0
13,28,2
13,29,0
13,30,0
13,31,0
13,32,1
14,0,0
14,1,8
14,2,1
14,3,16
14,4,7
14,5,7
14,6,3
14,7,2
14,8,5
14,9,0
14,10,15
14,11,0
14,12,0
14,13,13
14,14,0
14,15,18
14,16,8
14,17,0
14,18,12
14,19,5
14,20,0
14,21,0
14,22,0
14,23,9
14,24,0
14,25,1
14,26,0
14,27,2
14,28,7
14,29,0
14,30,0
14,31,0
14,32,3
15,0,0
15,1,5
15,2,6
15,3,15
15,4,3
15,5,0
15,6,8
15,7,0
15,8,2
15,9,0
15,10,1
15,11,0
15,12,12
15,13,0
15,14,2
15,15,0
15,16,0
15,17,3
15,18,0
15,19,0
15,20,0
15,21,2
15,22,0
15,23,6
15,24,0
15,25,0
15,26,0
15,27,3
15,28,0
15,29,0
15,30,0
15,31,3
15,32,0
16,0,0
16,1,2
16,2,16
16,3,0
16,4,0
16,5,0
16,6,1
16,7,2
16,8,0
16,9,0
16,10,0
16,11,19
16,12,13
16,13,4
16,14,10
16,15,6
16,16,0
16,17,6
16,18,3
16,19,0
16,20,7
16,21,2
16,22,1
16,23,0
16,24,1
16,25,0
16,26,0
16,27,2
16,28,0
16,29,2
16,30,3
16,31,0
16,32,3
17,0,0
17,1,19
17,2,0
17,3,1
17,4,0
17,5,3
17,6,10
17,7,0
17,8,2
17,9,6
17,10,0
17,11,0
17,12,8
17,13,4
17,14,0
17,15,10
17,16,1
17,17,0
17,18,3
17,19,2
17,20,1
17,21,0
17,22,0
17,23,0
17,24,15
17,25,0
17,26,19
17,27,8
17,28,0
17,29,0
17,30,10
17,31,5
17,32,1
18,0,0
18,1,0
18,2,2
18,3,11
18,4,2
18,5,0
18,6,0
18,7,0
18,8,0
18,9,0
18,10,0
18,11,1
18,12,0
18,13,0
18,14,3
18,15,5
18,16,15
18,17,15
18,18,0
18,19,0
18,20,0
18,21,2
18,22,0
18,23,3
18,24,1
18,25,1
18,26,18
18,27,1
