node1,node2,bwd,delay,pkloss
1,3,107349.599839,3.801227,0.0
1,7,73177.574904,9.555817,0.000407
1,8,94400.112608,1.350641,0.000672
1,10,83840.426302,1.134634,0.00296
1,12,154182.328574,1.050115,0.001209
1,30,100938.974462,0.282168,0.00071
2,3,133028.0555,5.907893,0.001732
2,4,106140.341846,1.951694,0.003282
2,5,94907.114418,0.956655,0.00279
2,17,77433.34808,2.266049,0.000859
2,21,76813.786447,0.990272,0.000544
2,22,103777.09058,2.613783,0.001733
2,28,81929.042639,4.468799,0.00601
2,31,144318.857832,2.824068,0.007501
3,4,107560.530867,14.12046,0.0
3,5,127566.619747,1.189232,0.000836
3,6,102969.185602,3.54147,0.000675
3,7,73757.63523,1.048446,0.000503
3,12,156353.91112,2.63679,0.001535
3,13,106897.77599,3.49772,0.001729
3,15,108192.125478,2.562404,0.002034
3,20,135854.100141,0.297189,0.002477
3,27,135157.739795,1.520872,0.00433
3,31,132355.712849,2.088904,0.003648
3,32,69833.88699,1.323342,0.00231
4,11,109620.703801,2.943397,0.002208
4,14,77054.631007,0.907183,0.008014
4,16,111843.917153,3.779173,0.002023
4,17,52156.380454,10.690689,0.001182
5,6,95469.750603,0.716209,0.002073
5,9,145494.432824,0.088334,0.000978
5,10,80129.823009,0.263453,0.002237
5,11,95444.577635,1.102328,0.000611
5,15,137932.904264,0.684857,0.001148
5,16,133987.988737,0.346661,0.005011
6,8,90286.957571,1.693368,0.002263
6,19,101110.759023,1.456022,0.000682
6,23,124204.954756,1.376748,0.001977
6,27,146182.52966,1.202703,0.002255
7,9,160360.792199,1.823902,0.001993
8,18,59361.5926,2.156258,0.000433
10,29,138352.913734,0.083327,0.001696
11,13,101909.736578,1.443505,0.001177
11,29,93139.36859,0.0,0.001068
13,14,80330.054293,4.192829,0.006535
13,22,125585.545948,2.576709,0.00145
14,20,91228.956364,0.526071,0.008487
14,21,55702.405471,3.310442,0.005299
14,24,151353.692679,1.235485,0.007592
15,18,50140.550975,3.625393,0.00085
15,19,116191.961395,5.615354,0.000777
15,26,115435.510861,1.717329,0.009106
15,28,53409.2679,1.835704,0.00984
16,23,116885.887794,1.894593,0.002365
16,25,165247.7169,0.833988,0.001717
19,24,141470.031165,0.739336,0.003114
19,25,160110.385041,0.961185,0.001408
20,26,118414.312148,1.591444,0.005456
22,32,122554.056499,0.777125,0.000868
26,30,126209.541432,0.0,0.007263
